top_sentence|article_url|sender|instance_id|subject|id|tags|timestamp
Steve Bannon out at White House Steve Bannon President Trump's chief strategist and self-styled liaison to the far right has left the White House in the latest staff shakeup according to the Associated Press.||Los Angeles Times||Breaking News: Steve Bannon out at White House|59971f73cd4d745624000063|['white house' 'staff shakeup' 'steve bannon' 'breaking news steve bannon' 'liaison' 'white house chief' 'staff' trump's 'chief strategist' 'series' 'marine' 'bannon' 'john f. kelly' 'speculation' 'interviews' 'aides' 'trump’s']|2017-08-18T13:09:43-04:00
WASHINGTON - Steve Bannon is leaving his post as senior adviser according to an administration official. Speaking on background due to the sensitivity of the situation the official said the White House hopes to have a formal announcement later Friday.|https://www.usatoday.com/story/news/politics/2017/08/18/controversial-adviser-steve-bannon-out-white-house/568190001/|USATODAY.com||BREAKING: Controversial adviser Steve Bannon out at White House|59972010cd4d745624000064|['administration' 'departure. bannon' bannon's 'formal announcement later' 'adviser' 'senior adviser' 'weeks ago' 'official said the' 'website' 'sensitivity' 'steve bannon' 'background' 'situation' 'circa' 'circumstances' 'white house' 'confusion' 'breaking controversial']|2017-08-18T13:12:38-04:00
Email Not Displaying.|https://www.cbsnews.com/news/trump-has-decided-to-remove-steve-bannon-from-white-house/|CBS||Steve Bannon out as White House chief strategist|5997235ccd4d745624000066|['white house chief strategist' 'steve bannon' 'displaying' 'email']|2017-08-18T13:26:47-04:00
Reports: Steve Bannon Out As Chief White House Strategist Multiple news outlets are reporting that Steve Bannon who salvaged Donald Trump's presidential campaign but struggled once he reached the West Wing is out as Trump's chief strategist.|http://www.npr.org/2017/08/18/523778912/reports-steve-bannon-out-as-chief-white-house-strategist|NPR||Reports: Steve Bannon Out As Chief White House Strategist|599723fbcd4d745624000067|['white house' 'chief strategist' 'steve bannon' 'chief' 'presidential campaign' donald trump's 'strategist' trump's 'reports steve bannon' 'strategist multiple' 'wing' 'news outlets']|2017-08-18T13:29:07-04:00
Bannon out as White House chief strategist Stephen Bannon Donald Trump's controversial chief strategist is leaving the White House confirmed on Friday ending a rocky tenure and removing a chief proponent of economic nationalism from the administration.|http://click.newsletters.ft.com/f/a/Wzk3caxgQ7Ea1mDsJ9nFrg~~/AAAAAQA~/RgRbeaodP0EIAKzEYLGTMuRXCGZpbnRpbWVzWAQAAAAAQgoAArsll1l9AbM2Uh9icmVha2luZy5uZXdzLmNhdGNoZXJAZ21haWwuY29tCVEEAAAAAERzaHR0cDovL2xpLmZ0LmNvbS9jbGljaz9zPTE3ODMwNCZzej0zMDB4MjUwJmxpPWJyZWFraW5nLW5ld3MmZT1icmVha2luZy5uZXdzLmNhdGNoZXIlNDBnbWFpbC5jb20mcD00MDAzMDA1MTM3ODIwNDEyM4daAXsicHJvZHVjdCI6IkVtRSIsInJlcXVlc3RlZFNlbmRUaW1lIjoiMTUwMzA3NzY1NSIsImNhdGVnb3J5IjoibmV3c2xldHRlciIsImxpc3RJZCI6IjU2NDQ5NWY4ZTRiMGFmNjY4MWYwZjM5ZCIsImVtYWlsSWQiOiI1OTk3MjNkN2E0ZTFlNDAwMDQ5MjE5NmQiLCJiaW5kaW5nIjoiZWRpdG9yaWFsIiwidGVtcGxhdGVJZCI6IjU1Y2NiODc1MDkwYmZmMDMwMGU3OGI2MyIsInVzZXJVdWlkIjoiNDVhMzIyMjYtYjQ0Yy00YjBkLWE0MzctNjEyYjA5NDhlMjVkIiwidHJhbnNhY3Rpb25JZCI6ImE1MGYxY2FmLWU3YjItNGYxNC1hNWY0LWM2MDdhZGVjYTMzOSIsInNvdXJjZSI6InNpbXBsZS1lbWFpbC1zZXJ2aWNlIn0~|FT||Bannon out as White House chief strategist|599725d0cd4d745624000068|['white house' 'controversial chief strategist' 'with chief' 'mr bannon’s' 'administration' 'economic nationalism' 'departure' 'statement and' stephen bannon donald trump's 'rocky tenure' 'john kelly' 'leaving' 'bannon' 'chief proponent' 'job' 'white house chief strategist' 'staff']|2017-08-18T13:37:00-04:00
Subscribe to HEALTH and get 10 issues for just View:.||Time||Reader You Have Been Selected By TIME|59975556cd4d74562400006a|['issues' 'view' 'have been selected' '10' 'subscribe' 'health' 'reader']|2017-08-18T16:59:56-04:00
The cloudiest and potentially rainiest spots should be the Upper Midwest and the Southeast.|https://www.usatoday.com/story/weather/2017/08/18/eclipse-weather-forecast-you-able-see-sky-spectacle/579746001/|USATODAY.com||BREAKING: Will your skies be clear to see the total solar eclipse? Here's a look ahead at Monday's weather report|599760ffcd4d74562400006b|['quiet weather' 'cloudiest' 'eclipse' 'upper midwest' 'weather report' 'total solar eclipse' 'breaking will' 'look' 'nation' 'rainiest spots' 'southeast' 'skies']|2017-08-18T17:49:18-04:00
Controversial adviser Steve Bannon left the White House on Friday.|https://www.usatoday.com/story/news/politics/2017/08/18/controversial-adviser-steve-bannon-out-white-house/568190001/|USATODAY.com||BREAKING: Steve Bannon returns to Breitbart as executive chairman oversees evening editorial meeting|599769cecd4d74562400006c|['adviser' 'breitbart' 'controversial' 'bannon' 'white house' 'executive chairman' 'steve bannon' 'executive chairman oversees evening editorial meeting' 'breaking steve bannon']|2017-08-18T18:27:08-04:00
Seven months later construction of a wall has yet to begin the number of border officers has actually dropped and immigration agents are on track to deport 10000 fewer people this year than in President Obama’s last year in office.||Los Angeles Times||Special Report: Trump vowed to hire 5000 new Border Patrol agents. It never happened|599776afcd4d74562400006d|['10000' 'trump' 'seven' 'months later construction' 'immigration agents' '5000' 'dropped' 'wall' 'immigration' 'number' 'obama’s' 'report trump' 'border officers' 'new border patrol agents' 'track' 'swift crackdown' 'deport' 'latest']|2017-08-18T19:22:18-04:00
The event which takes place Dec. 3 will celebrate dancer Carmen de Lavallade singer Gloria Estefan rapper LL Cool J TV writer Norman Lear and singer Lionel Richie.|https://www.washingtonpost.com/news/post-politics/wp/2017/08/19/trump-first-lady-pull-out-of-kennedy-center-honors-to-allow-the-honorees-to-celebrate-without-any-political-distraction/|The Washington Post||Politics Alert: Trump first lady pull out of Kennedy Center Honors ’to allow the honorees to celebrate without any political distraction’|599820cfcd4d74562400006e|['dancer' 'lavallade' 'lifetime achievement' 'rapper' 'place' 'politics alert trump' 'boycott' 'll cool j' 'honorees' 'darkness politics alert' 'lear' 'lionel richie' 'center' 'center honors ’to' 'trumps' 'event' 'richie' 'kennedy' 'gloria estefan' 'entertainment' 'honors' 'singer' 'carmen' 'democracy dies' 'arts' 'political distraction' '3' 'tv writer' 'traditional white house reception' 'norman lear' 'lady']|2017-08-19T07:27:46-04:00
President Donald Trump and first lady Melania Trump will not participate in the Kennedy Center Honors to avoid political distraction the White House Office of the Press Secretary said in a statement.|https://www.usatoday.com/|USATODAY.com||BREAKING: President Trump and the first lady will not attend Kennedy Center Honors White House says|599821c9cd4d74562400006f|['melania trump' 'kennedy' 'center' 'statement' 'lady' 'white house office' 'white house' 'trump' 'center honors' 'political distraction' 'donald trump' 'honors' 'press secretary']|2017-08-19T07:32:14-04:00
 Second police officer dies in Florida shooting|http://www.foxnews.com/us/2017/08/19/second-police-officer-dies-in-florida-shooting.html|FoxNews.com||Second police officer dies in Florida shooting|5998984ccd4d745624000070|['police officer' 'florida']|2017-08-19T15:57:49-04:00
Despite that a South Carolina coroner deemed it a suicide - an act his family insists that Raheel as a faithful Muslim and a doting son was morally and constitutionally incapable of making.|https://usat.ly/2uTeQ3w|USATODAY.com||BREAKING: What drove a Muslim U.S. Marine recruit to jump to his death?|599898e9cd4d745624000071|['iconic marine training base' 'family' 'allegations' he'd 'act' 'authorities' 'carolina' 'faithful' 'muslim u.s.' 'suicide' 'third-story barracks railing' 'parris island' 'muslim' 'son' 'marine' 'death' 'raheel siddiqui' 'coroner' 'raheel' 'drill instructor' 'making']|2017-08-19T16:00:32-04:00
Groundbreaking comedian and civil rights activist Dick Gregory dies Dick Gregory who became the first black stand-up comic to break the color barrier in major nightclubs in the early 1960s a decade in which he satirized segregation and race relations in his act and launched his lifetime commitment to civil rights and other social justice issues has died.||Los Angeles Times||Breaking News: Groundbreaking comedian and civil rights activist Dick Gregory dies|5998f84dcd4d745624000072|['civil rights' 'act' 'groundbreaking' 'died' 'social justice issues' 'dick gregory' 'comedian' 'decade' 'lifetime commitment' 'race relations' '84' 'segregation' 'civil rights activist' 'early 1960s' 'breaking news groundbreaking' 'black stand-up' 'major nightclubs' 'latest' 'color barrier']|2017-08-19T22:47:36-04:00
The Gregory family announced Saturday that the legendary performer departed the Earth on Saturday.|https://www.usatoday.com/story/life/people/2017/08/19/dick-gregory-legendary-comic-and-civil-rights-activist-dies-84/583899001/|USATODAY.com||BREAKING: Dick Gregory legendary comic and civil rights activist dies at 84|5998fc32cd4d745624000073|['family' 'civil rights activist' '84' 'legendary' 'earth' 'gregory' 'breaking dick gregory' 'legendary performer']|2017-08-19T23:03:50-04:00
The comedian rose to national prominence in the early 1960s as a black satirist whose audacious style of humor was biting subversive and topical mostly centered on current events politics and above all racial tensions.|https://www.washingtonpost.com/local/obituaries/black-satirist-inspired-other-comics-with-expert-timing-bold-humor-and-political-comedy/2017/08/19/f9360e40-854f-11e7-902a-2a9f2d808496_story.html|The Washington Post||News Alert: Dick Gregory cutting-edge satirist and uncompromising activist dies at 84|5998ffbacd4d745624000074|['comedians' 'early 1960s' 'humor' 'bold humor —' 'mr. gregory' 'black satirist' 'official social media accounts' 'careers' 'current events politics' 'biting subversive' 'comedian' 'topical' 'audacious style' 'son' 'expert timing' 'death' 'darkness' 'alert dick gregory' 'democracy dies' 'richard pryor' 'district' 'punch line' 'trademark' 'bill cosby' '84' 'activist' 'gregory' 'day’s headlines —' 'racial tensions' 'national prominence' 'cutting-edge satirist' 'mr. gregory’s']|2017-08-19T23:19:14-04:00
Breaking News: Dick Gregory the pioneering black satirist who transformed cool humor into a barbed force for civil rights in the 1960s has died at 84|https://www.nytimes.com/2017/08/19/arts/dick-gregory-dies-at-84.html|NYTimes.com|101841|Breaking News: Dick Gregory the pioneering black satirist who transformed cool humor into a barbed force for civil rights in the 1960s has died at 84|59990038cd4d745624000076|['84' 'force' 'breaking news dick gregory' 'civil rights' '1960s' 'header' 'black satirist' 'cool humor']|2017-08-19T23:21:11-04:00
