id	subject	timestamp	article_url	sender	instance_id	tags	topsentence
587ff7b8cd4d7409b4000004	CALL TO THE HALL: Jeff Bagwell, Tim Raines, Ivan Rodriguez elected to Baseball Hall of Fame	2017-01-18T18:18:07-05:00	http://www.foxnews.com/	FoxNews.com		['ivan rodriguez', 'baseball', 'fame', 'association', 'tim raines jeff bagwell', 'call to the hall jeff bagwell tim raines ivan rodriguez', 'america', 'ranks', 'three', 'baseball hall', 'baseball immortals']	The ranks of baseball immortals grew by three Wednesday when Tim Raines, Jeff Bagwell and Ivan Rodriguez were voted into the Baseball Hall of Fame by the Baseball Writers' Association of America.
58807aa6cd4d7409b4000012	DESPERATE SEARCH: Italian authorities say 30 missing after avalanche buries mountainside hotel	2017-01-19T03:36:39-05:00	http://www.foxnews.com/	FoxNews.com		['authorities say', 'avalanche', 'avalanche buries mountainside hotel', 'italian authorities', 'mountainside hotel', 'desperate search', 'italy', '30']	At least 30 people are missing after an avalanche buried a mountainside hotel in central Italy, authorities say.
5880cf53cd4d7409b400001f	TRUMP TRANSITION: Former Georgia Gov. Perdue selected for Agriculture Secretary	2017-01-19T09:38:06-05:00	http://www.foxnews.com/politics/2017/01/19/sonny-perdue-nominated-to-lead-agriculture-department.html	FoxNews.com		['secretary', 'agriculture secretary', 'final cabinet selection', 'donald trump', 'gov', 'agriculture', 'president-elect', 'georgia', 'nominate', 'trump transition', 'perdue', 'sonny perdue']	President-elect Donald Trump to nominate former Georgia Gov.
5880efdecd4d7409b4000021	NEW RNC CHAIR: Republican National Committee picks Ronna Romney McDaniel as chair	2017-01-19T11:56:50-05:00	http://www.foxnews.com/politics/2017/01/19/gop-selects-ronna-romney-mcdaniel-to-lead-partys-operation.html	FoxNews.com		['40', 'niece', 'michigan republican ronna romney mcdaniel', 'gop', 'position', 'woman', 'presidential candidate', 'rnc', 'national committee', 'new rnc chair republican', 'mitt romney', 'ronna romney mcdaniel', 'chair']	Michigan Republican Ronna Romney McDaniel, niece of former GOP presidential candidate Mitt Romney, has been chosen as RNC chair, making her the first woman to hold the position in 40 years.
58811e1acd4d7409b4000028	LAST ACT:: Obama cuts short sentences of 330 drug offenders, AP reports	2017-01-19T15:14:01-05:00	http://www.foxnews.com/politics/2017/01/19/in-final-act-as-president-obama-commutes-330-drug-sentences.html	FoxNews.com		['major act', 'short sentences', obama's, 'sentences', 'climactic close', 'drug crimes', 'cuts', 'bid', 'move', 'systematic injustice', 'last act obama', '330', 'drug offenders', 'barack obama', 'federal inmates']In his last major act as president, Barack Obama is cutting short the sentences of 330 federal inmates convicted of drug crimes.	
588207fccd4d74429700000d	SURVIVORS FOUND: At least 8 alive in Italian hotel after avalanche	2017-01-20T07:51:45-05:00	http://www.foxnews.com/world/2017/01/20/rescue-crews-continue-to-scour-italian-hotel-ravaged-by-avalanche.html	FoxNews.com		['children', 'italian', 'hotel', 'rubble', 'avalanche', '8', 'italian hotel', 'survivors found', 'rescuers', '2', 'italian media report']	Rescuers find at least 8 people, including 2 children, alive in the rubble of the Italian hotel crushed by an avalanche, Italian media report.
588212c6cd4d74429700000f	INAUGURATION DAY: Trump family leaves Blair House	2017-01-20T08:38:04-05:00	http://video.foxnews.com/v/2553193403001/#sp=watch-live	FoxNews.com		['inauguration day trump', 'family', 'inauguration', 'blair', 'foxnews.com.', 'president-elect', 'family leaves', 'church prayer service', 'house', 'st', 'donald trump', 'complete']	President-elect Donald Trump and his family leave Blair House for St. John's Church prayer service on Inauguration Day.
5882230ecd4d744297000013	WHITE HOUSE GREETING: Obamas welcome Trumps for reception	2017-01-20T09:47:32-05:00	http://video.foxnews.com/v/2553193403001/#sp=watch-live	FoxNews.com		['reception', 'white house greeting obamas', 'president-elect', 'melania trump', 'foxnews.com.', 'donald trump', 'barack obama', 'trumps', 'white house', 'complete', 'michelle obama', 'lady']	President-elect Donald Trump and Melania Trump arrive at White House for reception with President Barack Obama and First Lady Michelle Obama.
5882335bcd4d74429700001b	WATCH INAUGURATION LIVE: President-elect Trump to arrive at Capitol	2017-01-20T10:56:45-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['foxnews.com.', 'donald trump', 'swearing-in', 'president-elect', 'capitol', 'complete', 'us capitol', 'watch inauguration live', '1115am', 'trump']	President-elect Donald Trump to arrive at US Capitol for swearing-in at 11:15am ET.
58823808cd4d74429700001e	AL QAEDA TAKEDOWN: More than 100 fighters killed in Syria strikes	2017-01-20T11:16:58-05:00	http://www.foxnews.com/	FoxNews.com		['b-52 bomber', 'syria', '100', 'aleppo syria', 'drone strikes', 'al qaeda', 'official says', 'strikes', 'terror training camp', 'fighters', 'pentagon', 'core', 'al qaeda takedown']	More than 100 'core Al Qaeda' fighters killed in B-52 bomber and drone strikes on terror training camp west of Aleppo, Syria, Pentagon official says.
58824127cd4d744297000023	OFFICER SHOT DEAD: Manhunt for gunman in Louisiana	2017-01-20T11:56:01-05:00	http://www.foxnews.com/	FoxNews.com		['officer shot dead manhunt', 'louisiana', 'marrero la', 'head', 'school', 'died sheriff says manhunt', 'police officer shot', 'gunman']	Police officer shot in the head outside school in Marrero, La., had died, sheriff says; manhunt launched for gunman.
58824394cd4d744297000027	45TH PRESIDENT: Donald Trump takes oath of office	2017-01-20T12:06:12-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['president donald trump', 'oath', 'states', '45th', 'continuing', 'foxnews.com.', 'donald trump', '45th president']	Donald Trump takes the oath of office, becoming the 45th president of the United States.
588249b9cd4d74429700002f	'YOU WILL NEVER BE IGNORED AGAIN': President Trump pledges prosperity in inaugural address	2017-01-20T12:32:36-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['pledges prosperity', 'analysis', 'donald trump', 'rulers', 'the day', 'inaugural address', 'delivers inaugural address', 'trump', 'will never be ignored again', 'nation again', 'foxnews.com.']	President Donald Trump delivers inaugural address, says today will be remembered as 'the day the people became the rulers of this nation again.
58824ec5cd4d744297000033	BIDDING FAREWELL: Obamas leave Washington on 'Executive One'	2017-01-20T12:53:51-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['complete', 'executive', 'michelle obama', 'one', 'donald trump', 'barack obama', 'bid farewell', 'foxnews.com.', 'lady', 'bidding farewell obamas', 'depart', 'melania trump', 'helicopter']	Former President Barack Obama, former First Lady Michelle Obama bid farewell to President Donald Trump, First Lady Melania Trump, depart on 'Executive One' helicopter.
58826c07cd4d744297000039	WATCH LIVE: President Trump takes part in inaugural parade	2017-01-20T14:58:45-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['lady', 'pennsylvania avenue', 'inaugural parade', 'melania trump', 'trump', 'foxnews.com.', 'donald trump', 'part']	President Donald Trump, First Lady Melania Trump to participate in inaugural parade down Pennsylvania Avenue.
58829c35cd4d744297000047	KELLY CONFIRMED: Senate approves Trump’s pick for Homeland Security secretary	2017-01-20T18:24:19-05:00	http://www.foxnews.com/	FoxNews.com		['homeland security', 'security secretary', 'marine corps', '88-11', 'cabinet nominees', 'senate approves', 'senate', 'kelly confirmed', 'homeland', 'donald trump’s', 'john kelly', 'secretary', 'trump’s']	The Senate voted 88-11 to confirm retired Marine Corps General John Kelly as Secretary of Homeland Security, the second of President Donald Trump’s Cabinet nominees to be confirmed Friday.
5882aa99cd4d74429700004a	DOWN TO BUSINESS: Trump orders regulatory freeze, tells agencies to ease ObamaCare burden	2017-01-20T19:25:50-05:00	http://www.foxnews.com/	FoxNews.com		['donald trump', 'orders regulatory freeze', 'burden', 'regulatory', 'obamacare', 'ease', 'federal agencies', 'agencies', 'signs executive orders', 'down to business trump']	In his first hours as president, Donald Trump signs executive orders mandating a regulatory freeze and directing federal agencies to “ease the burden” of ObamaCare.
