58f63861cd4d7405950000ca	FACEBOOK KILLER DEAD : So-called Facebook Killer Steve Stephens who killed a man in Cleveland on Sunday sparking a five-state manhunt has killed himself2017-04-18T12:01:27-04:00	http://www.foxnews.com/	FoxNews.com		['so-called' 'stranger' 'pennsylvania' 'five-state manhunt' 'erie pa' 'facebook' 'man' 'killer steve stephens' 'facebook killer dead' 'easter sunday' 'cleveland' 'steve stephens']	Steve Stephens the Cleveland man who gunned down a stranger on Easter Sunday sparking a five-state manhunt killed himself after being stopped by police in Erie Pa. according to Pennsylvania State Police.
5882335bcd4d74429700001b	WATCH INAUGURATION LIVE: President-elect Trump to arrive at Capitol	2017-01-20T10:56:45-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['foxnews.com.' 'donald trump' 'swearing-in' 'president-elect' 'capitol' 'complete' 'us capitol' 'watch inauguration live' '1115am' 'trump']	President-elect Donald Trump to arrive at US Capitol for swearing-in at 11:15am ET.
58823808cd4d74429700001e	AL QAEDA TAKEDOWN: More than 100 fighters killed in Syria strikes	2017-01-20T11:16:58-05:00	http://www.foxnews.com/	FoxNews.com		['b-52 bomber' 'syria' '100' 'aleppo syria' 'drone strikes' 'al qaeda' 'official says' 'strikes' 'terror training camp' 'fighters' 'pentagon' 'core' 'al qaeda takedown']	More than 100 'core Al Qaeda' fighters killed in B-52 bomber and drone strikes on terror training camp west of Aleppo Syria Pentagon official says.
58824127cd4d744297000023	OFFICER SHOT DEAD: Manhunt for gunman in Louisiana	2017-01-20T11:56:01-05:00	http://www.foxnews.com/	FoxNews.com		['officer shot dead manhunt' 'louisiana' 'marrero la' 'head' 'school' 'died sheriff says manhunt' 'police officer shot' 'gunman']	Police officer shot in the head outside school in Marrero La. had died sheriff says; manhunt launched for gunman.
58824394cd4d744297000027	45TH PRESIDENT: Donald Trump takes oath of office	2017-01-20T12:06:12-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['president donald trump' 'oath' 'states' '45th' 'continuing' 'foxnews.com.' 'donald trump' '45th president']	Donald Trump takes the oath of office becoming the 45th president of the United States.
588249b9cd4d74429700002f	'YOU WILL NEVER BE IGNORED AGAIN': President Trump pledges prosperity in inaugural address	2017-01-20T12:32:36-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['pledges prosperity' 'analysis' 'donald trump' 'rulers' 'the day' 'inaugural address' 'delivers inaugural address' 'trump' 'will never be ignored again' 'nation again' 'foxnews.com.']	President Donald Trump delivers inaugural address says today will be remembered as 'the day the people became the rulers of this nation again.
58824ec5cd4d744297000033	BIDDING FAREWELL: Obamas leave Washington on 'Executive One'	2017-01-20T12:53:51-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['complete' 'executive' 'michelle obama' 'one' 'donald trump' 'barack obama' 'bid farewell' 'foxnews.com.' 'lady' 'bidding farewell obamas' 'depart' 'melania trump' 'helicopter']	Former President Barack Obama former First Lady Michelle Obama bid farewell to President Donald Trump First Lady Melania Trump depart on 'Executive One' helicopter.
58826c07cd4d744297000039	WATCH LIVE: President Trump takes part in inaugural parade	2017-01-20T14:58:45-05:00	http://video.foxnews.com/v/5288973463001/#sp=watch-live	FoxNews.com		['lady' 'pennsylvania avenue' 'inaugural parade' 'melania trump' 'trump' 'foxnews.com.' 'donald trump' 'part']	President Donald Trump First Lady Melania Trump to participate in inaugural parade down Pennsylvania Avenue.
58829c35cd4d744297000047	KELLY CONFIRMED: Senate approves Trump’s pick for Homeland Security secretary	2017-01-20T18:24:19-05:00	http://www.foxnews.com/	FoxNews.com		['homeland security' 'security secretary' 'marine corps' '88-11' 'cabinet nominees' 'senate approves' 'senate' 'kelly confirmed' 'homeland' 'donald trump’s' 'john kelly' 'secretary' 'trump’s']	The Senate voted 88-11 to confirm retired Marine Corps General John Kelly as Secretary of Homeland Security the second of President Donald Trump’s Cabinet nominees to be confirmed Friday.
5882aa99cd4d74429700004a	DOWN TO BUSINESS: Trump orders regulatory freeze tells agencies to ease ObamaCare burden	2017-01-20T19:25:50-05:00	http://www.foxnews.com/	FoxNews.com		['donald trump' 'orders regulatory freeze' 'burden' 'regulatory' 'obamacare' 'ease' 'federal agencies' 'agencies' 'signs executive orders' 'down to business trump']	In his first hours as president Donald Trump signs executive orders mandating a regulatory freeze and directing federal agencies to “ease the burden” of ObamaCare.
5884bbb9cd4d74345b00000c	DEADLY STORMS: At least 11 killed 23 injured after severe weather strikes central Georgia	2017-01-22T09:03:22-05:00	http://www.foxnews.com/us/2017/01/22/11-people-killed-in-georgia-following-severe-weather.html	FoxNews.com		['severe weather' 'outbreak' 'deadly storms' '23' 'killed' 'state emergency management officials announce' 'dozen' '11' 'georgia' 'severe weather strikes']	At least 11 people are dead and nearly two dozen injured in an outbreak of severe weather across central Georgia state emergency management officials announce.
