labor department reports	3
wsj news alert u.s.	7
endorses house speaker	1
house speaker's	1
paul ryan trump	1
ryan	6
a-rod	1
a-rod alex rodriguez	1
alex rodriguez	1
breaking n.y. yankee alex rodriguez	1
breaking news alex rodriguez	1
final game	1
game	6
rodriguez	1
400-meter freestyle	1
breaking katie ledecky	3
breaking u.s.	13
gold	18
gold medal	11
katie ledecky	4
ledecky	3
michael phelps	5
olympic gold medal	9
own world record	2
world record	2
abdication	1
abdication rumors	1
duties	1
emperor	1
emperor akihito	1
health	14
japan	3
japans emperor akihito	1
official duties	1
wsj news alert japan emperor signals	1
airline	2
airline says	1
atlanta	2
breaking delta	1
breaking news delta	1
computer systems	1
delays	1
delays cancellations	1
delta	1
flights	4
flights worldwide	1
global outage warns delays	1
outage	1
power outage	1
resumes flights	1
worldwide computer systems failure	1
american swimmer	2
bronze medal	1
career gold medal	1
king	3
lilly	1
medal	5
new olympic record	1
olympic record	1
ryan murphy	1
swimmer	4
us swimmer	1
biles	2
gold medalists	1
gold rush	1
gymnastics	2
gymnastics team	1
gymnastics team all-around	1
gymnastics team final	1
gymnastics team lead	1
simone biles	4
simone biles aly raisman gabby douglas laurie hernandez	1
simone biles gabby douglas laurie hernandez madison kocian	1
team gymnastics gold medal	1
us gymnastics team	1
women	8
200-meter	2
200-meter freestyle	1
200-meter freestyle race	1
200m	1
20th career	1
20th gold medal	1
4x200-meter freestyle relay	2
alert katie ledecky	2
alert michael phelps	2
breaking michael phelps	3
breaking michael phelps ryan lochte	1
breaking news michael phelps katie ledecky	1
career	3
career gold	1
career record	1
claims 20th career gold medal	1
michael phelps katie ledecky	1
olympic gold	4
olympic gold medal record	1
phelps	3
relay	4
ryan lochte	5
u.s. swimmers	1
us men	1
women’s 200-meter freestyle	1
defeats primary challenger	1
gop primary house speaker	1
apprehend man	1
manhattan	4
scale 58-story	1
trump tower	6
all-around	1
all-around competition	1
all-around gold	1
all-around gymnastic gold medal	1
all-around gymnastics	1
aly raisman	2
breaking news simone biles aly raisman	1
breaking simone biles	1
breaking team usa's simone biles	1
dow sp nasdaq close	1
event	6
gymnastics all-around competition	1
harrison	1
individual all-around gymnastics	1
kayla harrison	1
rio olympics women’s gymnastics	1
silver	3
silver medal	3
silver medals	1
simone biles aly raisman	1
team usa's simone biles	1
teammate aly raisman	2
wsj news alert dow sp nasdaq close	1
100-meter freestyle	1
200-meter backstroke	1
22nd gold medal	1
backstroke	1
breaking news michael phelps	1
breaking ryan murphy	1
canada’s penny oleksiak	1
fifth	1
finishes fifth	1
freestyle	2
individual medley	1
manuel	2
medley	1
oleksiak	1
olympic gold medals 22	1
penny oleksiak	1
ryan lochte phelps	1
simone manuel	2
swimming results michael phelps	1
swimming results michael phelps dominates	1
tie	1
women’s 100-meter freestyle	1
clinton releases	1
effective	1
effective federal income tax rate	1
personal income tax return	1
personal tax return	1
rate hillary clinton	1
releases	3
tax	5
tax return	2
wsj news alert clinton releases	1
olympic soccer quarterfinals	1
olympic soccer tournament	1
olympics results u.s. women’s soccer quarterfinals	1
olympics results u.s. women’s soccer quarterfinals in a	1
penalty	1
penalty shootout	1
shootout	2
soccer	1
soccer team	2
soccer tournament	1
sweden	3
sweden sweden	1
women’s soccer quarterfinals	1
women’s soccer team	1
200-meter backstroke gold	1
800-meter freestyle	1
backstroke katie ledecky	1
breaking news usa's katie ledecky	1
claims gold	1
dirado	1
freestyle gold	1
freestyle world record	1
maya dirado	1
own 800-meter freestyle world record	1
surprise gold	1
sydney games	1
1000th gold medal	1
4x100-meter medley relay	1
4x100-meter medley relay gold	1
gold medals	1
individual medley relay	1
jeff henderson	1
kathleen baker lilly king dana vollmer	1
medley relay	1
medley relay victory	1
olympics michael phelps	1
rio olympics team usa	1
usa	1
x 100-meter medley relay	1
american gymnast	1
american gymnast captures	1
breaking news ryan lochte	1
breaking usa's simone biles	2
gymnast	1
lochte	2
rio de janeiro	1
rio olympics biles	1
u.s. swimmers robbed	1
vault	1
vault final	1
wsj news alert ryan lochte	1
alert usain bolt	1
bolt	2
breaking usain bolt	2
consecutive olympic gold	1
olympic 100m gold	1
usain bolt	3
gymnastics gold medals	1
medal overall	1
raisman	1
breitbart	2
breitbart news	2
breitbart news's stephen bannon	1
campaign chief executive	1
campaign implements	1
kellyanne conway	3
manager	1
pollster kellyanne conway	1
presidential campaign	5
stephen bannon	2
american swimmers	1
fellow swimmers	1
gunnar bentz	1
jack conger	1
swimmers	1
u.s. rep ami bera	1
200-meter race	1
200m gold	1
400-meter hurdles	1
ashton eaton	1
consecutive olympic gold medal	2
dalilah muhammad	1
decathlon	1
hurdles	1
muhammad	1
olympic gold medals	2
women’s 400-meter hurdles	1
brazil u.s.	1
brazilian	1
feigen	1
gas station	1
jimmy feigen	1
olympic swimmer	1
rio jimmy feigen	1
robbery	1
robbery scandal	1
robbery scandal lawyer	1
scandal	7
breaking news embattled trump	1
breaking paul manafort	1
campaign chairman	3
campaign shakeup	1
embattled trump	1
fellow senior campaign officials	1
manafort	1
mr trump	7
mr. trump	51
paul	1
paul manafort	2
paul manafort resigns	1
resigns	6
trump campaign	2
trump campaign chair paul manafort resigns	1
wsj news alert paul manafort resigns	1
incident	9
area	1
beach	1
city’s tourist area	1
federal health officials urge pregnant women	1
miami beach	2
miami's wynwood	1
new area	1
wsj news alert cdc confirms active transmission	1
4x100-meter relay	1
4x100m relay	1
4x100m relay final	1
consecutive olympic gold medals	1
jamaica	1
sprint relay event	1
straight 4x100-meter relay gold	1
101-72	1
basketball	4
basketball steamrolls	1
basketball team	2
basketball team romps	1
consecutive olympic tournament games	1
olympic gold medal game	2
olympic women’s basketball	1
spain	1
straight gold medal	1
us women’s basketball team defeats	1
women’s gold medal basketball game	1
men reclaim 4x400-meter relay gold	1
breaking usa's claressa shields	1
nouchka fontijn	1
olympics claressa shields	1
shields	1
usa's claressa shields	1
96-66	1
basketball team cruises	1
basketball team defeats	1
serbia	1
straight olympic gold	1
straight olympic gold medal	1
paralympics	1
rio paralympics	1
6.1	1
6.2-magnitude earthquake rocks	1
6.2-magnitude quake	1
amatrice italy	1
earthquake	4
earthquake hits	2
earthquake rocks	1
earthquake strikes	2
geological	1
geological survey	1
italy	4
italy magnitude	1
italy near rome	1
magnitude	1
magnitude earthquake	1
norcia italy	1
quake	2
rome	1
town	1
u.s. geological survey	1
wsj news alert earthquake hits	2
21	1
37	1
6.2-magnitude earthquake	1
alert reuters italy	1
civil protection agency	1
death toll	5
earthquake death toll climbs	1
italy killing	1
kilometers 105 miles	1
protection	1
quake's epicenter	1
remote towns	1
rescue	1
rescue crews	1
rescue crews sift	1
rubble	1
strong earthquake	1
towns	1
afghanistan gunmen	1
afghanistan reportedly	1
american university	1
complex attack	1
kabul	3
kabul afghanistan	1
kabul gunfire	1
students	3
university	5
earth	3
earth's sun	1
earth-like' planet	1
habitable' planet found orbiting	1
planet	1
scientists	5
solar system	2
star	7
false robbery report	1
police charge	1
ban burkinis	1
coastal towns	1
french court overturns burkini ban	1
top administrative court overturns burkini ban	1
